AVN|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AVS|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AVY|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AW2|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AW4|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWA|13ft 60.4" cont               |ldxx|13| 1| 0|13| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWB|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWC|13ft 60.4" cont               |ldxx|13| 1| 0|13| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWD|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWF|13ft 60.4" cont               |ldxx|13| 1| 0|13| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWG|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWN|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWR|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AWS|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AXP|10ft cont                     |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
AZA|10ft cont                     |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DAA|10ft 88.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DAF|10ft 88.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DKE|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DKJ|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DKN|5ft 60.4" cont                |LD3 | 5| 3| 0| 5| 5| 1|20200510150847|ANONYMOUS     |20200510150847|ANONYMOUS     
DKP|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DKS|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DKX|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DLE|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DLF|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DLP|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DPA|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DPE|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DPN|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DQF|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DQP|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DVE|5ft 60.4" cont                |LD3 | 5| 1| 0| 5| 5| 1|20200510150847|ANONYMOUS     |20200510150847|ANONYMOUS     
DVN|5ft 60.4" cont                |LD3 | 5| 1| 0| 5| 5| 1|20200510150847|ANONYMOUS     |20200510150847|ANONYMOUS     
DVS|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DVT|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DVX|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DWB|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
DXE|10ft cont                     |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
FKB|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
FLA|10ft 60.4" cont               |ldxx|10| 3| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
FLS|10ft 60.4" cont               |ldxx|10| 3| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
FNA|10ft 61.5" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
FQA|10ft 60.4" cont               |ldxx|10| 3| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
HAJ|horse stall                   |LD9H|15| 3| 0|15|10| 1|20200510152745|ANONYMOUS     |20200510152745|ANONYMOUS     
HAZ|horse stall                   |LD9H|15| 3| 0|15|10| 1|20200510152745|ANONYMOUS     |20200510152745|ANONYMOUS     
HMA|horse stall                   |LD9H|15| 3| 0|15|10| 1|20200510152745|ANONYMOUS     |20200510152745|ANONYMOUS     
HMJ|horse stall                   |LD9H|15| 3| 0|15|10| 1|20200510152745|ANONYMOUS     |20200510152745|ANONYMOUS     
HXJ|horse stall                   |LD9H|15| 3| 0|15|10| 1|20200510152745|ANONYMOUS     |20200510152745|ANONYMOUS     
HYJ|horse stall                   |LD9H|15| 3| 0|15|10| 1|20200510152745|ANONYMOUS     |20200510152745|ANONYMOUS     
JAN|10ft 88.0" cont               |ldxx|10| 3| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
KAK|cattle stall                  |ldxx|15| 3| 0|15|10| 1|20200510150847|Initialization|20200510150847|Initialization
MAP|10ft 88.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
MKN|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
MQP|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
MVA|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
MVE|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
MVT|5ft 60.4" cont                |ldxx| 5| 1| 0| 5| 5| 1|20200510150847|Initialization|20200510150847|Initialization
MWB|10ft 60.4" cont               |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
P1G|10ft 88.0" plt                |LD7 |10| 1| 0|10| 5| 1|20200510150847|ANONYMOUS     |20200510150847|ANONYMOUS     
P1P|10ft 88.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
P1W|10ft 88.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
P2P|10ft 88.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
P4A|20ft plt                      |ldxx|20| 1| 0|20|10| 1|20200510150847|Initialization|20200510150847|Initialization
P4P|20ft plt                      |ldxx|20| 1| 0|20|10| 1|20200510150847|Initialization|20200510150847|Initialization
P5P|10ft 53.0" plt                |ldxx|10| 1| 0|10| 5| 1|20200510150847|Initialization|20200510150847|Initialization
P6C|10ft 96.0" plt                |ldxx|10| 1| 0|10|10| 1|20200510150847|Initialization|20200510150847|Initialization
P6P|10ft 96.0" plt                |ldxx|10| 1| 0|10|10| 1|20200510150847|Initialization|20200510150847|Initialization
P7A|20ft plt                      |ldxx|20| 1| 0|20|10| 1|20200510150847|Initialization|20200510150847|Initialization
